year,total,cat_a,cat_b,cat_c,cat_d,taxis,exempt
2015,100859,44450,27302,14974,8583,4537,1013
2016,119607,53191,35126,16687,9165,4519,919
2017,120376,45621,35167,20685,10786,7164,953
2018,112132,43719,33142,13817,16515,3903,1036
2019,93690,29778,27783,13841,15933,5588,767
2020,66078,20494,20353,10051,10153,4213,814
2021,55616,16994,17122,8240,10615,1979,666
2022,47575,13471,11467,9043,11145,1309,1140
2023,49895,16914,12175,7116,11174,1432,1084
2024,54866,21516,14621,7582,8492,1818,837
2025,70748,27215,22335,8913,8315,1646,2324
